,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score,ParameterName,Parameter
82,Industrial_Estate,101.26582278481013,ROOTSIFT,0.6708860759493671,0.006625,0.993375,0.0066249999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
83,Industrial_Estate,101.26582278481013,ROOTSIFT,0.8354430379746836,0.00825,0.99175,0.0082499999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
84,Industrial_Estate,101.26582278481013,ROOTSIFT,0.810126582278481,0.008,0.992,0.008,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
85,Industrial_Estate,101.27848101265825,ROOTSIFT,1.3417721518987342,0.0132483439570053,0.9867516560429946,0.0132483439570053,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
86,Industrial_Estate,101.26582278481013,ROOTSIFT,0.9113924050632912,0.009,0.991,0.009,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
87,Industrial_Estate,101.26582278481013,ROOTSIFT,2.8860759493670884,0.0284999999999999,0.9715,0.0284999999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
88,Industrial_Estate,101.26582278481013,ROOTSIFT,0.6962025316455697,0.006875,0.993125,0.0068749999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
89,Industrial_Estate,101.26582278481013,ROOTSIFT,0.7088607594936709,0.007,0.993,0.007,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
90,Industrial_Estate,101.26582278481013,ROOTSIFT,1.6329113924050631,0.016125,0.983875,0.0161249999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
91,Industrial_Estate,101.26582278481013,ROOTSIFT,3.481012658227848,0.0343749999999999,0.965625,0.034375,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
92,Industrial_Estate,101.26582278481013,ROOTSIFT,1.1645569620253164,0.0115,0.9885,0.0114999999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
93,Industrial_Estate,101.26582278481013,ROOTSIFT,8.974683544303797,0.088625,0.911375,0.088625,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
94,Industrial_Estate,101.26582278481013,ROOTSIFT,0.9113924050632912,0.009,0.991,0.009,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
95,Industrial_Estate,101.26582278481013,ROOTSIFT,0.6708860759493671,0.006625,0.993375,0.0066249999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
96,Industrial_Estate,101.26582278481013,ROOTSIFT,1.6329113924050631,0.016125,0.983875,0.0161249999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
97,Industrial_Estate,101.26582278481013,ROOTSIFT,1.5822784810126582,0.015625,0.984375,0.015625,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
98,Industrial_Estate,101.26582278481013,ROOTSIFT,0.4683544303797468,0.004625,0.995375,0.0046249999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
99,Industrial_Estate,101.26582278481013,ROOTSIFT,1.0886075949367089,0.01075,0.98925,0.0107499999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
100,Industrial_Estate,101.27848101265825,ROOTSIFT,0.620253164556962,0.0061242344706911,0.9938757655293088,0.0061242344706911,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
101,Industrial_Estate,101.26582278481013,ROOTSIFT,3.0253164556962027,0.029875,0.970125,0.0298749999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
102,Industrial_Estate,101.26582278481013,ROOTSIFT,0.4810126582278481,0.00475,0.99525,0.00475,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
103,Industrial_Estate,101.26582278481013,ROOTSIFT,0.8734177215189873,0.008625,0.991375,0.0086249999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
104,Industrial_Estate,101.26582278481013,ROOTSIFT,5.531645569620253,0.054625,0.945375,0.054625,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
105,Industrial_Estate,101.26582278481013,ROOTSIFT,0.8227848101265823,0.008125,0.991875,0.0081249999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
106,Industrial_Estate,101.26582278481013,ROOTSIFT,1.1265822784810129,0.011125,0.988875,0.0111249999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
107,Industrial_Estate,101.26582278481013,ROOTSIFT,2.556962025316456,0.0252499999999999,0.97475,0.0252499999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
108,Industrial_Estate,101.26582278481013,ROOTSIFT,0.6962025316455697,0.006875,0.993125,0.0068749999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
109,Industrial_Estate,101.26582278481013,ROOTSIFT,1.2025316455696202,0.011875,0.988125,0.0118749999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
110,Industrial_Estate,101.26582278481013,ROOTSIFT,9.291139240506327,0.09175,0.90825,0.09175,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
111,Industrial_Estate,101.26582278481013,ROOTSIFT,0.5063291139240507,0.005,0.995,0.005,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
112,Industrial_Estate,101.26582278481013,ROOTSIFT,4.113924050632911,0.0406249999999999,0.959375,0.040625,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
113,Industrial_Estate,101.27848101265825,ROOTSIFT,2.6962025316455698,0.0266216722909636,0.9733783277090364,0.0266216722909636,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
