,Unnamed: 0,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score,ParameterName,Parameter
52,52,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.189873417721519,93.615,-92.615,93.615,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
53,53,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.2911392405063291,143.543,-142.543,143.543,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
54,54,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.1772151898734177,87.37400000000001,-86.37400000000001,87.37400000000001,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
55,55,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.240506329113924,118.579,-117.579,118.57900000000002,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
56,56,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.7088607594936709,349.49600000000004,-348.49600000000004,349.49600000000004,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
57,57,Industrial_Estate,0.0020282371171448,ROOTSIFT,1.2025316455696202,592.895,-591.895,592.895,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
58,58,Industrial_Estate,0.0020282371171448,ROOTSIFT,1.0126582278481011,499.2800000000001,-498.28,499.28,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
59,59,Industrial_Estate,0.0020282371171448,ROOTSIFT,2.2278481012658227,1098.416,-1097.4160000000002,1098.416,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
60,60,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.379746835443038,187.23,-186.23,187.23,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
61,61,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.620253164556962,305.809,-304.809,305.809,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
62,62,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.1772151898734177,87.37400000000001,-86.37400000000001,87.37400000000001,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
